CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
STJ~KSTJ~ST JOSEPH, MO~ST JOSEPH MISSOURI~ROSECRANS MEML~39.46.3N~094.54.5W~826~M06.0
STK~~STERLING COLO, CO~NO STA DATA~~~~~
STL~KSTL~ST LOUIS INTL, MO~ST LOUIS MO~LAMBERT-ST LOUIS INTL~38.44.8N~090.21.5W~605~M06.0
STM~SBSN~SANTAREM, BRAZIL~SANTAREM BRAZIL~SANTAREM INTL~02.25.4S~054.47.1W~197~M04.0
STN~EGSS~LONDON STANSTED, UNITED KINGDOM~LONDON-STANDSTED ENGLAND~STANSTED~51.53.0N~000.14.2E~347~P00.0
STO~~STOCKHOLM, SWEDEN~STOCKHOLM~~~~1~P01.0
STP~KSTP~ST PAUL DOWNTOWN, MN~ST. PAUL MN~ST PAUL DOWNTOWN-HOLMAN~44.56.0N~093.03.6W~705~M06.0
STQ~~ST MARYS PA, PA~NO STA DATA~~~~~
STR~EDDS~STUTTGART, GERMANY~STUTTGART GERMANY~STUTTGART~48.41.3N~009.13.3E~1300~P01.0
STS~KSTS~SANTA ROSA, CA~SANTA ROSA CA~SONOMA CO~38.30.5N~122.48.7W~125~M08.0
STT~TIST~ST THOMAS, VIRGIN ISLANDS~ST THOMAS VI~CHARLOTTE AMALIE KING~18.20.2N~064.58.4W~24~M04.0
STU~~SANTA CRUZ BZ, BELIZE~NO STA DATA~~~~~
STV~~SURAT, INDIA~NO STA DATA~~~~~
STW~~STAVROPOL, RUSSIA~NO STA DATA~~~~~
STX~TISX~ST CROIX, VIRGIN ISLANDS~ST CROIX VI~HENRY E ROHLSEN~17.42.1N~064.47.9W~61~M04.0
STY~SUSO~SALTO, URUGUAY~SALTO URUGUAY~SALTO~31.26.0S~057.59.0W~145~M03.0
STZ~~SANTA TEREZINHA, BRAZIL~NO STA DATA~~~~~
SUA~~STUART, FL~NO STA DATA~~~~~
SUB~WRSJ~SURABAYA, INDONESIA~SURABAYA, INDONESIA~JUANDA~07.22.8S~112.47.1E~9~P07.0
SUC~~SUNDANCE, WY~NO STA DATA~~~~~
SUD~~STROUD, OK~NO STA DATA~~~~~
SUE~KSUE~STURGEON BAY, WI~STURGEON BAY WI~DOOR CO CHERRYLAND~44.50.6N~087.25.2W~724~M06.0
SUF~LICA~LAMEZIA TERME, ITALY~TERME ITALY~TERME~38.54.4N~016.14.5E~40~P01.0
SUG~~SURIGAO, PHILIPPINES~NO STA DATA~~~~~
SUH~~SUR, OMAN~NO STA DATA~~~~~
SUI~~SUKHUMI, GEORGIA~NO STA DATA~~~~~
SUJ~LRSM~SATU MARE, ROMANIA~SATU MARE ROMANIA~SATU MARE~47.42.2N~022.52.9E~413~P02.0
SUK~~SAMCHOK, SOUTH KOREA~NO STA DATA~~~~~
SUL~~SUI, PAKISTAN~NO STA DATA~~~~~
SUM~EGPP~SUMTER, SC~SUMBURGH UK~SUMBURGH U.K.~59.52.8N~001.17.6W~18~P00.0
SUN~KSUN~SUN VALLEY, ID~FRIEDMAN MEM FLD HAILEY ID~FRIEDMAN MEML~43.30.2N~114.17.7W~5315~M07.0
SUO~~SUN RIVER, OR~NO STA DATA~~~~~
SUP~~SUMENEP, INDONESIA~NO STA DATA~~~~~
SUQ~~SUCUA, ECUADOR~NO STA DATA~~~~~
SUR~~SUMMER BEAVER OT, CANADA~NO STA DATA~~~~~
SUS~KSUS~SPIRIT O ST LOUIS, MO~SPIRIT OF ST LOUIS~SPIRIT OF ST LOUIS~38.39.7N~090.39.0W~1~P00.0
SUT~~SUMBAWANGA, TANZANIA~TUSCON~~~~1~M05.0
SUU~KSUU~TRAVIS AFB, CA~FAIRIELD CA~TRAVIS AFB~38.15.7N~121.55.6W~62~M08.0
SUV~NFNA~SUVA, FIJI~SUVA, TONGA~NAUSORI INTL~18.02.6S~178.33.7E~16~P13.0
SUW~~SUPERIOR WI BONG, WI~NO STA DATA~~~~~
SUX~KSUX~SIOUX CITY, IA~SIOUX CITY IA~SIOUX GATEWAY~42.24.1N~096.23.0W~1098~M06.0
SUY~~SUDUREYRI, ICELAND~NO STA DATA~~~~~
SUZ~~SURIA, PAPUA NEW GUINE~NO STA DATA~~~~~
SVA~~SAVOONGA, AK~NO STA DATA~~~~~
SVB~~SAMBAVA, MADAGASCAR~NO STA DATA~~~~~
SVC~KSVC~SILVER CITY, NM~SILVER CITY~GRANT CO~32.38.1N~108.09.3W~1~P00.0
SVD~TVSV~ST VINCENT, ST VINCENT~ST VINCENT ISLAND~E T JOSHUA~13.08.6N~061.12.8W~66~M04.0
SVF~~SAVE BENIN, BENIN~NO STA DATA~~~~~
SVG~ENZV~STAVANGER, NORWAY~STAVENGER NORWAY~SOLA~58.52.8N~005.37.8E~29~P01.0
SVH~KSVH~STATESVILLE, NC~STATESVILLE MUN~STATESVILLE MUN~35.45.7N~080.57.3W~965~M05.0
SVI~SKSV~SN VNCNTE DE CA, COLOMBIA~SAN VINCENT DEL CAGUAN CO~SAN VICENTE DEL CAGUAN~02.08.4N~074.44.8W~920~M05.0
SVJ~~SVOLVAER, NORWAY~NO STA DATA~~~~~
SVK~~SILVER CREEK, BELIZE~NO STA DATA~~~~~
SVL~EFSA~SAVONLINNA, FINLAND~SAVONLINNA FINLAND~SAVONLINNA~61.56.5N~028.56.8E~312~P02.0
SVM~~ST PAULS MISSION, AUSTRALIA~NO STA DATA~~~~~
SVN~KSVN~SAVANNAH SVN, GA~SAVANNAH GA~HUNTER AAF~32.00.6N~081.08.7W~42~M05.0
SVO~UUEE~MOSCOW SVO, RUSSIA~MOSCOW, RUSSIA~SHEREMETYEVO~55.58.3N~037.24.9E~627~P03.0
SVP~~KUITO, ANGOLA~NO STA DATA~~~~~
SVQ~LEZL~SEVILLA, SPAIN~SEVILLE SPAIN~SAN PABLO~37.25.1N~005.53.8W~112~P01.0
SVR~~SVAY RIENG, CAMBODIA~NO STA DATA~~~~~
SVS~~STEVENS VILLAGE, AK~NO STA DATA~~~~~
SVU~~SAVUSAVU, FIJI~NO STA DATA~~~~~
SVV~~SAN SALVADOR, VENEZUELA~NO STA DATA~~~~~
SVW~~SPARREVOHN, AK~NO STA DATA~~~~~
SVX~USSS~EKATERINBURG, E URAL RUSSIA~YEKATERINBURG RUSSIA~KOLTSOVO~56.44.6N~060.48.3E~764~P03.0
SVY~~SAVO, SOLOMON ISLANDS~NO STA DATA~~~~~
SVZ~SVSA~SAN ANTONIO VE, VENEZUELA~SAN ANTONIO VENEZUELA~SAN ANTONIO DEL TACHIRA INTL~07.52.0N~072.27.0W~1312~M04.0
SWA~~SHANTOU, CHINA~NO STA DATA~~~~~
SWB~~SHAW RIVER, AUSTRALIA~NO STA DATA~~~~~
SWC~~STAWELL, AUSTRALIA~NO STA DATA~~~~~
SWD~~SEWARD, AK~NO STA DATA~~~~~
SWE~~SIWEA, PAPUA NEW GUINE~NO STA DATA~~~~~
SWF~KSWF~NEWBURGH STEWART, NY~STEWART/NEWBURGH NY~STEWART INTL~41.30.2N~074.06.2W~491~M05.0
SWG~~STATWAG, PAPUA NEW GUINE~NO STA DATA~~~~~
SWH~~SWAN HILL, AUSTRALIA~NO STA DATA~~~~~
SWI~~SWINDON, UNITED KINGDOM~NO STA DATA~~~~~
SWJ~~SOUTH WEST BAY, VANUATU~NO STA DATA~~~~~
SWK~~MILAN SEGRATE, ITALY~NO STA DATA~~~~~
SWM~~SUIA MISSU, BRAZIL~NO STA DATA~~~~~
SWN~~SAHIWAL, PAKISTAN~NO STA DATA~~~~~
SWO~KSWO~STILLWATER, OK~STILLWATER~STILLWATER MUN~36.09.6N~097.05.1W~1~M06.0
SWP~~SWAKOPMUND, NAMIBIA~NO STA DATA~~~~~
SWQ~~SUMBAWA, INDONESIA~NO STA DATA~~~~~
SWR~~SILUR, PAPUA NEW GUINE~NO STA DATA~~~~~
SWS~~SWANSEA, UNITED KINGDOM~NO STA DATA~~~~~
SWT~~STRZHEWOI, RUSSIA~NO STA DATA~~~~~
SWU~~SU WON CITY, SOUTH KOREA~NO STA DATA~~~~~
SWV~~SWISSAIR LONDON, UNITED KINGDOM~NO STA DATA~~~~~
SWW~KSWW~SWEETWATER, TX~SWEETWATER TX~AVENGER~32.28.0N~100.27.9W~2385~M06.0
SWX~~SHAKAWE, BOTSWANA~NO STA DATA~~~~~
SWY~~SITIAWAN, MALAYSIA~NO STA DATA~~~~~
SWZ~~NOT IN TBL~SMYRNA~~~~1~M06.0
SXA~~SIALUM, PAPUA NEW GUINE~NO STA DATA~~~~~
SXB~LFST~STRASBOURG, FRANCE~STRASBURG FRANCE~ENTZHEIM~48.32.4N~007.37.9E~502~P01.0
SXC~~CATALINA ISLAND, CA~NO STA DATA~~~~~
SXD~~SOPHIA ANTIPOLIS, FRANCE~NO STA DATA~~~~~
SXE~~SALE, AUSTRALIA~NO STA DATA~~~~~
SXF~EDDB~BERLIN SCHONEFELD, GERMANY~BERLIN GERMANY~SCHONEFELD~52.22.7N~013.31.2E~154~P01.0
SXG~~SENANGA, ZAMBIA~NO STA DATA~~~~~
SXH~~SEHULEA, PAPUA NEW GUINE~NO STA DATA~~~~~
SXI~OIBS~NOT IN TBL~SIRRI ISLAND,IRAN~SIRRI ISLAND~25.54.5N~054.33.3E~73~P03.5
SXK~~SAUMLAKI INDONESI, INDONESIA~NO STA DATA~~~~~
SXL~~SLIGO, IRELAND~NO STA DATA~~~~~
SXM~TNCM~ST MAARTEN, NETHERLANDS AN~ST MAARTEN~PRINCESS JULIANA INTL~18.02.3N~063.06.7W~13~M04.0
SXN~~SUAPAN, BOTSWANA~NO STA DATA~~~~~
SXO~~SAO FELIX ARAGUAI, BRAZIL~NO STA DATA~~~~~
SXP~~SHELDON POINT, AK~NO STA DATA~~~~~
SXQ~~SOLDOTNA, AK~NO STA DATA~~~~~
SXR~~SRINAGAR, INDIA~NO STA DATA~~~~~
SXS~~SAHABAT 16, MALAYSIA~NO STA DATA~~~~~
SXT~~TAMAN NEGARA, MALAYSIA~NO STA DATA~~~~~
SXU~~SODDU, ETHIOPIA~NO STA DATA~~~~~
SXV~~SALEM, INDIA~NO STA DATA~~~~~
SXW~~SAUREN, PAPUA NEW GUINE~NO STA DATA~~~~~
SXX~~SAO FELIX D XINGU, BRAZIL~NO STA DATA~~~~~
SXY~~SIDNEY NY, NY~NO STA DATA~~~~~
SXZ~~SIIRT, TURKEY~NO STA DATA~~~~~
SYA~PASY~SHEMYA ISLAND, AK~SHEMYA, ALASKA~EARECKSON AS~52.42.7N~174.06.8E~97~M10.0
SYB~~SEAL BAY, AK~NO STA DATA~~~~~
SYD~YSSY~SYDNEY, AUSTRALIA~SYDNEY AUSTRALIA~KINGSFORD SMITH INTL~33.56.7S~151.10.6E~21~P10.0
SYE~~SADAH, YEMEN REPUBLIC~NO STA DATA~~~~~
SYF~~SILVA BAY BC, CANADA~NO STA DATA~~~~~
SYG~~SVALBARD NO, NORWAY~NO STA DATA~~~~~
SYI~KSYI~SHELBYVILLE, TN~BOMAR-SHELBYVILLE~BOMAR-SHELBYVILLE MUN~35.33.6N~086.26.5W~800~M06.0
SYJ~~SIRJAN, IRAN~NO STA DATA~~~~~
SYK~~STYKKISHOLMUR, ICELAND~NO STA DATA~~~~~
SYM~~SIMAO CHINA, CHINA~NO STA DATA~~~~~
SYO~RJSY~SHONAI, JAPAN~SHONAI,JAPAN~SHONAI~38.48.5N~139.47.4E~72~P09.0
SYP~~SANTIAGO, PANAMA~NO STA DATA~~~~~
SYQ~~SAN JOSE TOBIAS, COSTA RICA~NO STA DATA~~~~~
SYR~KSYR~SYRACUSE, NY~SYRACUSE NY~SYRACUSE HANCOCK INTL~43.06.6N~076.06.3W~421~M05.0
SYS~~RAMP SERVICES HDQ, TX~NO STA DATA~~~~~
SYU~~SUE ISLAND, AUSTRALIA~NO STA DATA~~~~~
SYW~~SEHWEN, PAKISTAN~NO STA DATA~~~~~
SYX~~SANYA, CHINA~NO STA DATA~~~~~
SYY~EGPO~STORNOWAY, UNITED KINGDOM~STORNOWAY UK~STORNOWAY~58.12.8N~006.19.6W~25~P00.0
SYZ~OISS~SHIRAZ, IRAN~SHIRAZ,IRAN~SHIRAZ INTL~29.32.4N~052.35.3E~4920~P03.5
SZA~~SOYO, ANGOLA~NO STA DATA~~~~~
SZB~~SRI LANKA TOURS, UNITED KINGDOM~NO STA DATA~~~~~
SZC~~SANTA CRUZ CR, COSTA RICA~NO STA DATA~~~~~
SZE~~SEMERA, ETHIOPIA~NO STA DATA~~~~~
SZG~LOWS~SALZBURG AUSTRIA, AUSTRIA~SALZBURG AUSTRIA~SALZBURG~47.47.7N~013.00.2E~1411~P01.0
SZH~~SENIPAH, INDONESIA~NO STA DATA~~~~~
SZI~~ZAISAN, KAZAKHSTAN~NO STA DATA~~~~~
SZK~FASZ~SKUKUZA, SOUTH AFRICA~SKUKUZA SOUTH AFRICA~SKUKUZA~24.58.0S~031.36.0E~1020~P02.0
SZM~~SESRIEM, NAMIBIA~NO STA DATA~~~~~
SZN~~SANTA CRUZ IS, CA~NO STA DATA~~~~~
SZO~~SHANZHOU, CHINA~NO STA DATA~~~~~
SZP~~SANTA PAULA, CA~NO STA DATA~~~~~
SZQ~~SAENZ PENA, ARGENTINA~NO STA DATA~~~~~
SZR~~STARA ZAGORA, MYANMAR~NO STA DATA~~~~~
SZS~~STEWART ISLAND, NEW ZEALAND~NO STA DATA~~~~~
SZU~~SEGOU, MALI~BOGUS FOR EAGLE~~~~1~P00.0
SZV~~SUZHOU, CHINA~NO STA DATA~~~~~
SZW~~SCHWERIN, GERMANY~NO STA DATA~~~~~
SZX~ZGSZ~SHENZHEN, CHINA~SHENZHEN PR OF CHINA~HUANGTIAN~22.38.3N~113.48.7E~13~P08.0
SZY~~SZYMANY, POLAND~NO STA DATA~~~~~
SZZ~EPSC~SZCZECIN, POLAND~SZCZECIN POLAND~GOLENIOW~53.35.1N~014.54.2E~154~P01.0
TAA~~TARAPAINA, SOLOMON ISLANDS~NO STA DATA~~~~~
TAB~TTCP~TOBAGO, TRINIDAD~TOBAGO~CROWN POINT~11.08.7N~060.50.4W~36~M04.0
TAC~RPVA~TACLOBAN, PHILIPPINES~TACLOBAN,PHILLIPINES~DANIEL Z ROMUALDEZ~11.13.8N~125.01.5E~7~P08.0
TAD~KTAD~TRINADAD COLO, CO~TRINIDAD CO~STOKES~37.15.5N~104.20.4W~5761~M07.0
TAE~RKTN~TAEGU, SOUTH KOREA~TAEGU KOREA~TAEGU AERO~35.53.4N~128.39.6E~116~P09.0
TAF~~TAFAROVI, ALGERIA~NO STA DATA~~~~~
TAG~~TAGBILARAN, PHILIPPINES~NO STA DATA~~~~~
TAH~~TANNA ISLAND, VANUATU~NO STA DATA~~~~~
TAI~~TAIZ, YEMEN REPUBLIC~NO STA DATA~~~~~
TAJ~~TADJI, PAPUA NEW GUINE~NO STA DATA~~~~~
TAK~RJOT~TAKAMATSU, JAPAN~TAKAMATSU, JAPAN~TAKAMATSU~34.12.6N~134.01.1E~607~P09.0
TAL~~TANANA ALASKA, AK~NO STA DATA~~~~~
TAM~MMTM~TAMPICO, MEXICO~TAMPICO MEXICO~GEN FRANCISCO JAVIER MINA~22.17.3N~097.51.8W~80~M06.0
TAN~~TANGALOOMA, AUSTRALIA~NO STA DATA~~~~~
TAO~~QINGDAO, CHINA~NO STA DATA~~~~~
TAP~MMTP~TAPACHULA, MEXICO~TAPACHULA,MEXICO~TAPACHULA INTL~14.47.5N~092.22.2W~96~M06.0
TAQ~~TARCOOLA AUST, AUSTRALIA~NO STA DATA~~~~~
TAR~LIBG~TARANTO, ITALY~GROTTAGLIE ITALY~GROTTAGLIE~40.31.0N~017.23.9E~216~P01.0
TAS~UTTT~TASHKENT, UZBEKISTAN~TASHKENT, UZBEKISTAN~TASHKENT YUZHNY~41.15.4N~069.16.4E~1414~P05.0
TAT~LZTT~TATRY POPRAD, SLOVAKIA~POPRAD SLOVAKIA~TATRY~49.04.4N~020.14.6E~2356~P02.0
TAU~~TAURAMENA, COLOMBIA~NO STA DATA~~~~~
TAV~~TAU ISLAND, US PACIFIC IS~NO STA DATA~~~~~
TAW~SUTB~TACUAREMBO, URUGUAY~TRAVEL AGENCY WAREHOUSE-CA~TACUAREMBO~31.45.0S~055.55.4W~1~P00.0
TAX~~TALIABU, INDONESIA~NO STA DATA~~~~~
TAY~~TARTU, ESTONIA~NO STA DATA~~~~~
TAZ~~TASHAUZ, TURKMENISTAN~NO STA DATA~~~~~
TBA~~TABIBUGA, PAPUA NEW GUINE~NO STA DATA~~~~~
TBB~~TUY HOA, VIETNAM~NO STA DATA~~~~~
TBC~~TUBA CITY, AZ~NO STA DATA~~~~~
TBD~~TIMBIQUI, COLOMBIA~NO STA DATA~~~~~
TBE~~TIMBUNKE, PAPUA NEW GUINE~NO STA DATA~~~~~
TBF~~TABITEUEA NORTH, KIRIBATI~NO STA DATA~~~~~
TBG~~TABUBIL, PAPUA NEW GUINE~NO STA DATA~~~~~
TBH~~TABLAS, PHILIPPINES~NO STA DATA~~~~~
TBI~~THE BIGHT, BAHAMAS~NO STA DATA~~~~~
TBJ~~TABARKA, TUNISIA~NO STA DATA~~~~~
TBK~~TIMBER CREEK, AUSTRALIA~NO STA DATA~~~~~
TBL~~TABLELAND AUST, AUSTRALIA~NO STA DATA~~~~~
TBM~~TUMBANG SAMBA, INDONESIA~NO STA DATA~~~~~
TBN~~FT LEONARD WOOD, MO~NO STA DATA~~~~~
TBO~HTTB~TABORA, TANZANIA~TABORA, TANZANIA~TABORA~05.04.4S~032.49.7E~3868~P03.0
TBP~~TUMBES, PERU~NO STA DATA~~~~~
TBR~KTBR~STATESBORO, GA~STATESBORO~STATESBORO MUN~32.28.9N~081.44.2W~187~M05.0
TBS~UGGG~TBILISI, GEORGIA~TBILISI~NOVOALEXEYEVKA~41.40.3N~044.57.3E~1572~P00.0
TBT~SBTT~TABATINGA, BRAZIL~TABATINGA BRAZIL~TABATINGA INTL~04.15.0S~069.56.2W~279~M04.0
TBU~NFTF~TONGATAPU, TONGA~TONGATAPU TONGA ISLAND~FUA AMOTU INTL~21.14.5S~175.08.3W~26~P13.0
TBW~~TAMBOV, RUSSIA~NO STA DATA~~~~~
TBZ~OITT~TABRIZ, IRAN~TABRIZ IRAN~TABRIZ INTL~38.08.0N~046.14.1E~4459~P03.5
TCA~YTNK~TENNANT CREEK, AUSTRALIA~TENNANT CREEK AUS~TENNANT CREEK~19.38.1S~134.10.9E~1236~P09.5
TCB~MYAT~TREASURE CAY, BAHAMAS~TREASURE CAY BAHAMAS~TREASURE CAY~26.44.8N~077.23.6W~11~M05.0
TCC~KTCC~DSC COMMUNICTNS, OK~TULSA COMPUTER CENTER~TUCUMCARI MUN~35.10.9N~103.36.1W~596~M06.0
TCD~~TARAPACA, COLOMBIA~PORTS OF CALL~~~~0~P00.0
TCE~LRTC~TULCEA, ROMANIA~CATALOI ROMANIA~CATALOI~45.03.7N~028.42.8E~220~P02.0
TCF~~TOCOA, HONDURAS~NO STA DATA~~~~~
TCG~~TACHENG, CHINA~NO STA DATA~~~~~
TCH~~TCHIBANGA, GABON~NO STA DATA~~~~~
TCI~~TENERIFE TCI, SPAIN~NO STA DATA~~~~~
TCJ~~CTO TA SAN MIGUEL, EL SALVADOR~NO STA DATA~~~~~
TCK~~CTO TA MERLIOT, EL SALVADOR~NO STA DATA~~~~~
TCL~KTCL~TUSCALOOSA, AL~TUSCALOOSA AL~TUSCALOOSA MUN~33.13.2N~087.36.6W~170~M06.0
TCM~KTCM~MCCHORD AFB, WA~TACOMA WA~MC CHORD AFB~47.08.2N~122.28.5W~323~M08.0
TCN~~TEHUACAN, MEXICO~TEST PURPOSES ONLY SOC~~~~1~P00.0
TCO~SKCO~TUMACO, COLOMBIA~TUMACO COLOMBIA~LA FLORIDA~01.49.2N~078.45.0W~8~M05.0
TCP~HETB~TABA, EGYPT~TABA-EGYPT~TABA INTL~29.36.0N~034.47.0E~240~P02.0
TCQ~SPTN~TACNA, PERU~TACNA PERU~COL CARLOS CIRIANI SANTA ROSA~18.02.9S~070.15.4W~1537~M05.0
TCR~~TUTICORIN, INDIA~NO STA DATA~~~~~
TCS~KTCS~TRUTH OR CONSEQNC, NM~TRUTH OR CONSEQUENCES NM~TRUTH OR CONSEQUENCES MUN~33.14.1N~107.16.2W~4850~M07.0
TCT~~TAKOTNA, AK~NO STA DATA~~~~~
TCU~~THABA NCHU, SOUTH AFRICA~NO STA DATA~~~~~
TCV~~TETE, MOZAMBIQUE~NO STA DATA~~~~~
TCW~~TOCUMWAL, AUSTRALIA~NO STA DATA~~~~~
TCX~~TABAS, IRAN~CTO TA USULUTAN, EL SALVAD~~~~1~P00.0
TCY~~TERRACE BAY, NAMIBIA~NO STA DATA~~~~~
TCZ~~TOURISM TASMANIA, AUSTRALIA~NO STA DATA~~~~~
TDA~~TRINIDAD CO, COLOMBIA~NO STA DATA~~~~~
TDB~~TETABEDI, PAPUA NEW GUINE~NO STA DATA~~~~~
TDD~SLTR~TRINIDAD BO, BOLIVIA~TRINIDAD BOLIVIA~JORGE HENRICH ARAUZ~14.49.1S~064.54.8W~509~M04.0
TDG~~TANDAG, PHILIPPINES~NO STA DATA~~~~~
TDI~~THEATRE DIRECT, NY~NO STA DATA~~~~~
TDJ~~TADJOURA, DJIBOUTI~NO STA DATA~~~~~
TDK~~TALDY KURGAN, KAZAKHSTAN~NO STA DATA~~~~~
TDL~SAZT~TANDIL, ARGENTINA~TANDIL,ARGENTINA~TANDIL~37.14.0S~059.15.0W~574~M03.0
TDM~~BRITISH AIRWAYS, UNITED KINGDOM~NO STA DATA~~~~~
TDN~~THEDA STATION, AUSTRALIA~NO STA DATA~~~~~
TDR~~THEODORE, AUSTRALIA~NO STA DATA~~~~~
TDS~~DIRECT SALES, JAPAN~NO STA DATA~~~~~
TDT~~TANDA TULA, SOUTH AFRICA~NO STA DATA~~~~~
TDV~~TANANDAVA, MADAGASCAR~NO STA DATA~~~~~
TDW~KTDW~NOT IN TBL~AMARILLO TX~TRADEWIND~35.10.1N~101.49.5W~3648~M06.0
TEA~~TELA, HONDURAS~NO STA DATA~~~~~
TEB~KTEB~TETERBORO, NJ~TETERBORO NJ~TETERBORO~40.51.0N~074.03.6W~9~M05.0
TEC~~TELEMACO BORBA, BRAZIL~NO STA DATA~~~~~
TED~EKTS~THISTED, DENMARK~THISTED DENMARK~THISTED~57.04.1N~008.42.2E~23~P01.0
TEE~DABS~TBESSA ALGERIA, ALGERIA~TEBESSA ALGERIA~TEBESSA~35.26.0N~008.08.0E~2661~P01.0
TEF~~TELFER WA AUST, AUSTRALIA~NO STA DATA~~~~~
TEG~MTEG~NOT IN TBL~PORT AU PRINCE FIR MTEG~PORT AU PRINCE FIR MTEG~18.34.0N~072.17.0W~1~P00.0
TEH~~TETLIN, AK~NO STA DATA~~~~~
TEI~~TEZU INDIA, INDIA~NO STA DATA~~~~~
TEJ~~TERMEZ, UZBEKISTAN~NO STA DATA~~~~~
TEK~LTBU~TATITLEK, AK~TEKIRDAG/COTLU AB, TURKEY~TEKIRDAG, CORLU AB~41.08.4N~027.55.2E~569~P02.0
TEL~~TELUPID, MALAYSIA~NO STA DATA~~~~~
TEM~~TEMORA, AUSTRALIA~NO STA DATA~~~~~
TEO~~TERAPO, PAPUA NEW GUINE~NO STA DATA~~~~~
TEP~~TEPTEP, PAPUA NEW GUINE~NO STA DATA~~~~~
TER~LPLA~TERCEIRA, PORTUGAL~TERCEIRA, LAJES AZORES~LAJES AB~38.45.7N~027.05.5W~180~M01.0
TES~~TESSENEI, ETHIOPIA~TOOLING AND TEST EQUIPMENT~~~~1~P00.0
TET~FQTT~TETE, MOZAMBIQUE~TETE MOZAMBIQUE~CHINGOZI~16.06.5S~033.38.3E~525~P02.0
TEU~~TE ANAU, NEW ZEALAND~NO STA DATA~~~~~
TEX~KTEX~TELLURIDE, CO~TELLURIDE CO~TELLURIDE REGL~37.57.2N~107.54.5W~9086~M07.0
TEY~~THINGEYRI, ICELAND~NO STA DATA~~~~~
TEZ~~TEZPUR, INDIA~NO STA DATA~~~~~
TFA~~TILFALMIN, PAPUA NEW GUINE~NO STA DATA~~~~~
TFB~~FINCL CNTLS M A , TX~NO STA DATA~~~~~
TFC~~EASYSABRE, TX~NO STA DATA~~~~~
TFE~~TROPHY HELP DESK, GERMANY~NO STA DATA~~~~~
TFF~SBTF~TEFE, BRAZIL~TEFE BRAZIL~TEFE~03.22.8S~064.43.4W~189~M04.0
TFG~~TRAFALGAR TOURS, NY~NO STA DATA~~~~~
TFI~~TUFI, PAPUA NEW GUINE~NO STA DATA~~~~~
TFK~~TAUCK TOURS, NY~NO STA DATA~~~~~
TFL~~TEOFILO OTONI, BRAZIL~NO STA DATA~~~~~
TFM~~TELEFOMIN, PAPUA NEW GUINE~NO STA DATA~~~~~
TFN~GCXO~TENERIFE TCI, SPAIN~TENERIFE, CANARY ISLANDS~LOS RODEOS~28.28.8N~016.20.4W~2073~P00.0
TFO~~REFERNCE SYS MRKG, TX~NO STA DATA~~~~~
TFQ~~FARE BASE MGMT, OK~NO STA DATA~~~~~
TFR~~TARBES, FRANCE~TARBES,FRANCE~~~~1~P01.0
TFS~GCTS~TENERIFE REINASFI, SPAIN~TENERIFE, CANARY ISLANDS~REINA SOFIA~28.02.5N~016.34.2W~210~P00.0
TFT~~TAFTAN, PAKISTAN~NO STA DATA~~~~~
TFW~~STIN BETA SITES, TX~NO STA DATA~~~~~
TFX~~TRAFALGAR TOURS, UNITED KINGDOM~NO STA DATA~~~~~
TFY~~TARFAYA, MOROCCO~NO STA DATA~~~~~
TGD~LYPG~PODGORICA, YUGOSLAVIA~TITOGRAD, YUGOSLAVIA~PODGORICA~42.21.5N~019.15.4E~118~P01.0
TGE~~TUSKEGEE, AL~NO STA DATA~~~~~
TGF~~TIGNES, FRANCE~NO STA DATA~~~~~
TGG~~KUALA TERENGGANU, MALAYSIA~NO STA DATA~~~~~
TGH~~TONGOA, VANUATU~NO STA DATA~~~~~
TGI~~TINGO MARIA, PERU~NO STA DATA~~~~~
TGJ~~TIGA, NEW CALEDONIA~NO STA DATA~~~~~
TGL~~TAGULA, PAPUA NEW GUINE~NO STA DATA~~~~~
TGM~LRTM~TIRGU MURES, ROMANIA~TIRGU MURES, ROMANIA~VIDRASAU~46.28.1N~024.24.8E~965~P02.0
TGN~~TRARALGON, AUSTRALIA~NO STA DATA~~~~~
TGO~~TONGLIAO, CHINA~NO STA DATA~~~~~
TGQ~~TANGARA DA SERRA, BRAZIL~NO STA DATA~~~~~
TGR~DAUK~TOUGGOURT, ALGERIA~TOUGGOURT ALGERIA~SIDI MAHDI~33.04.0N~006.05.0E~279~P01.0
TGS~~TRIGO DE MORAIS, MOZAMBIQUE~NO STA DATA~~~~~
TGT~~TANGA, TANZANIA~NO STA DATA~~~~~
TGU~MHTG~TEGUCIGALPA, HONDURAS~TEGUCIGALPA HONDURAS~TONCONTIN INTL~14.03.6N~087.13.0W~3294~M06.0
TGV~~TARGOVISHTE, BULGARIA~NO STA DATA~~~~~
TGZ~MMTG~TUXTLA GUTIERREZ, MEXICO~TUXTLA GUTIERREZ MX~FRANCISCO SARABIA~16.46.1N~093.20.4W~3451~M06.0
THA~KTHA~TULLAHOMA, TN~TULLAHOMA~TULLAHOMA REGL/NORTHERN~35.22.8N~086.14.7W~1082~M06.0
THB~~THABA TSEKA, LESOTHO~NO STA DATA~~~~~
THC~~TCHIEN, LIBERIA~NO STA DATA~~~~~
THD~~SABRE HELP TYO, JAPAN~NO STA DATA~~~~~
THE~SBTE~TERESINA, BRAZIL~TERESINA BRAZIL~TERESINA~05.03.6S~042.49.4W~219~M03.0
