CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
AIT~~AITUTAKI, COOK ISLANDS~NO STA DATA~~~~~
AIU~~ATIU, COOK ISLANDS~NO STA DATA~~~~~
AIW~~AI AIS, NAMIBIA~NO STA DATA~~~~~
AIX~~APLLIED INFO SVCS, MT~NO STA DATA~~~~~
AIY~~ATLANTIC CITY AIY, NJ~NO STA DATA~~~~~
AIZ~KAIZ~LK OF THE OZARKS, MO~KAISER LAKE OZARK~FINE MEML~38.05.7N~092.32.9W~869~M06.0
AJA~LFKJ~AJACCIO, FRANCE~AJACCIO FR~CAMPO DELL ORO~41.55.5N~008.48.2E~16~P01.0
AJC~~TERRI SCHOHN, PA~NO STA DATA~~~~~
AJF~~JOUF, SAUDI ARABIA~NO STA DATA~~~~~
AJH~~NORDESTE, BRAZIL~NO STA DATA~~~~~
AJI~~AGRI, TURKEY~NO STA DATA~~~~~
AJJ~~AKJOUJT, MAURITANIA~NO STA DATA~~~~~
AJL~~AIZAWL, INDIA~NO STA DATA~~~~~
AJN~~ANJOUAN, COMOROS~NO STA DATA~~~~~
AJO~~ALJOUF, YEMEN REPUBLIC~NO STA DATA~~~~~
AJP~~AMERICAN AIRLINES, TX~NO STA DATA~~~~~
AJR~ESNX~ARVIDSJAUR, SWEDEN~ARVIDSJAUR SWEDEN~ARVIDSJAUR~65.35.4N~019.17.1E~1245~P01.0
AJS~~ABREOJOS, MEXICO~NO STA DATA~~~~~
AJU~SBAR~ARACAJU, BRAZIL~ARACAJU BRAZIL~SANTA MARIA~10.59.1S~037.04.4W~25~M03.0
AJW~~WEISSMANN TRAVEL, TX~NO STA DATA~~~~~
AJY~DRZA~AGADES, NIGER~AGADEZ NIGER~AGADES SOUTH~16.57.7N~007.59.1E~1657~P01.0
AKA~~ANKANG, CHINA~NO STA DATA~~~~~
AKB~~ATKA, AK~NO STA DATA~~~~~
AKC~~FULTON INTL, OH~NO STA DATA~~~~~
AKD~~AKOLA, INDIA~NO STA DATA~~~~~
AKE~~AKIENI, GABON~NO STA DATA~~~~~
AKF~HLKF~KUFRAH, LIBYA~KUFRA LIBYA~KUFRA~24.10.6N~023.18.9E~1367~P02.0
AKG~~ANGUGANAK, PAPUA NEW GUINE~NO STA DATA~~~~~
AKI~~AKIAK, AK~NO STA DATA~~~~~
AKJ~RJEC~ASAHIKAWA, JAPAN~ASAHIKAWA,JAPAN~ASAHIKAWA~43.40.1N~142.27.0E~682~P09.0
AKK~~AKHIOK, AK~NO STA DATA~~~~~
AKL~NZAA~AUCKLAND, NEW ZEALAND~AUCKLAND NEW ZEALAND~AUCKLAND INTL~37.00.4S~174.47.5E~23~P12.0
AKM~~ZAKOUMA, CHAD~NO STA DATA~~~~~
AKN~PAKN~KING SALMON, AK~KING SALMON ALASKA~KING SALMON~58.40.6N~156.38.9W~57~M09.0
AKP~~ANAKTUVUK PASS, AK~NO STA DATA~~~~~
AKQ~~ASTRAKSETRA, INDONESIA~NO STA DATA~~~~~
AKR~~AKURE, NIGERIA~NO STA DATA~~~~~
AKS~~AUKI, SOLOMON ISLANDS~NO STA DATA~~~~~
AKT~LCRA~AKROTIRI RAF CY, CYPRUS~AKROTIRI CYPRUS~AKROTIRI AB~34.35.4N~032.59.2E~76~P02.0
AKU~~AKSU, CHINA~NO STA DATA~~~~~
AKV~~AKULIVIK, CANADA~NO STA DATA~~~~~
AKX~UATT~AKTYUBINSK, KAZAKHSTAN~AKTYUBINSK, KAZAKHSTAN~AKTYUBINSK~50.14.7N~057.12.2E~738~P05.0
AKY~~SITTWE, MYANMAR~NO STA DATA~~~~~
AKZ~~ALASKA UA, AK~KABUL FIR~~~~1~P00.0
ALA~UAAA~ALMA ATA, KAZAKHSTAN~ALMA-ATA KAZAKHSTAN~ALMATY~43.21.1N~077.02.3E~2234~P06.0
ALB~KALB~ALBANY SCHENCTADY, NY~ALBANY~ALBANY CO~42.44.8N~073.48.1W~285~M05.0
ALC~LEAL~ALICANTE, SPAIN~ALICANTE SPAIN~ALICANTE~38.17.0N~000.33.5W~142~P01.0
ALD~~ALERTA, PERU~NO STA DATA~~~~~
ALE~KALE~ALPINE, TX~ALPINE TX~ALPINE-CASPARIS MUN~30.23.0N~103.40.9W~4513~M06.0
ALF~ENAT~ALTA, NORWAY~ALTA NORWAY~ALTA~69.58.5N~023.22.2E~10~P01.0
ALG~DAAG~ALGIERS, ALGERIA~ALGIERS ALGERIA~HOUARI BOUMEDIENE~36.41.6N~003.13.0E~82~P01.0
ALH~~ALBANY AU, AUSTRALIA~NO STA DATA~~~~~
ALI~KALI~ALICE, TX~ALICE TX~ALICE INTL~27.44.4N~098.01.6W~178~M06.0
ALJ~FAAB~ALEXANDER BAY, NAMIBIA~ALEXANDER BAY SOUTH AFRICA~ALEXANDER BAY~28.34.3S~016.32.1E~98~P02.0
ALK~~ASELA, ETHIOPIA~NO STA DATA~~~~~
ALL~~ALBENGA, ITALY~NO STA DATA~~~~~
ALM~KALM~ALAMOGORDO, NM~ALAMOGORDO NM~ALAMOGORDO-WHITE SANDS REGL~32.50.3N~105.59.4W~4197~M07.0
ALN~KALN~ALTON, IL~ALTON IL~ST LOUIS REGL~38.53.4N~090.02.7W~545~M06.0
ALO~KALO~WATERLOO IA, IA~WATERLOO IO~WATERLOO MUN~42.33.4N~092.24.0W~873~M06.0
ALP~OSAP~ALEPPO, SYRIA~ALEPPO SYRIA~ALEPPO INTL~36.10.7N~037.13.5E~1276~P02.0
ALQ~~ALEGRETE, BRAZIL~NO STA DATA~~~~~
ALR~~ALEXANDRA, NEW ZEALAND~NO STA DATA~~~~~
ALS~KALS~ALAMOSA, CO~ALAMOSA CO~SAN LUIS VALLEY REGL/BERGMAN~37.26.0N~105.52.0W~7535~M07.0
ALT~~ALENQUER, BRAZIL~ALTUS OK~~~~1378~M06.0
ALU~~ALULA, SOMALIA~NO STA DATA~~~~~
ALV~~ANDORRA LA VELLA, ANDORRA~NO STA DATA~~~~~
ALW~KALW~WALLA WALLA, WA~WALLA WALLA,WASHINGTON~WALLA WALLA REGL~46.05.6N~118.17.2W~1205~M08.0
ALY~HEAX~ALEXANDRIA EG, EGYPT~ALEXANDRIA EGYPT~ALEXANDRIA~31.11.0N~029.56.8E~1~P02.0
ALZ~~ALITAK, AK~NO STA DATA~~~~~
